file,start_timestamp,end_timestamp
RespCam_1030_p22_6_Neon Glasses_.mp4,1730256604.3,1730256830.0
RespCam_1030_p22_7_Neon Glasses_.mp4,1730253377.73,1730253662.0
RespCam_1030_p22_8_Neon Glasses_.mp4,1730255792.27,1730256160.0
RespCam_1030_p23_1_Neon Glasses_.mp4,1730272842.33,1730273000.0
RespCam_1030_p23_2_Neon Glasses_.mp4,1730272324.67,1730272520.0
RespCam_1030_p23_3_Neon Glasses_.mp4,1730276323.27,1730276616.0
RespCam_1030_p23_4_Neon Glasses_.mp4,1730273797.83,1730274088.0
RespCam_1030_p23_5_Neon Glasses_.mp4,1730274661.87,1730274802.0
RespCam_1030_p23_6_Neon Glasses_.mp4,1730273280.2,1730273458.0
RespCam_1030_p23_7_Neon Glasses_.mp4,1730275109.53,1730275334.0
RespCam_1030_p23_8_Neon Glasses_.mp4,1730275738.86,1730275964.0
RespCam_1031_p24_1_Neon Glasses_.mp4,1730357963.1,1730358146.0
RespCam_1031_p24_2_Neon Glasses_.mp4,1730358440.2,1730358616.0
RespCam_1031_p24_3_Neon Glasses_.mp4,1730360963.97,1730361342.0
RespCam_1031_p24_4_Neon Glasses_.mp4,1730361587.9,1730361970.0
RespCam_1031_p24_5_Neon Glasses_.mp4,1730360551.43,1730360772.0
RespCam_1031_p24_6_Neon Glasses_.mp4,1730360083.2,1730360344.0
RespCam_1031_p24_7_Neon Glasses_.mp4,1730359393.33,1730359646.0
RespCam_1031_p24_8_Neon Glasses_.mp4,1730358853.6,1730359136.0
RespCam_1101_p25_1_Neon Glasses_.mp4,1730429499.7,1730429700.0
RespCam_1101_p25_2_Neon Glasses_.mp4,1730429975.48,1730430194.0
RespCam_1101_p25_3_Neon Glasses_.mp4,1730430460.73,1730430850.0
RespCam_1101_p25_4_Neon Glasses_.mp4,1730427474.03,1730427848.0
RespCam_1101_p25_5_Neon Glasses_.mp4,1730428267.5,1730428454.0
RespCam_1101_p25_6_Neon Glasses_.mp4,1730431290.73,1730431510.0
RespCam_1101_p25_7_Neon Glasses_.mp4,1730428749.53,1730429052.0
RespCam_1101_p25_8_Neon Glasses_.mp4,1730426797.0,1730427034.0
